"Submit_ID","Brand_Reg","Model_No","screensize","Screen_Tech","Avg_mode_power","Star","Availability Status","Star2","new column","screensize_inches","Screen_Size_Category"
136372,"HISENSE","65A7G",163.896,"LCD (LED)",107.54,"N/A","Available",5,"HISENSE",64.5259842519685,"65-inch"
136391,"HISENSE","50A7G",125.731,"LCD (LED)",61.76,"N/A","Available",5.5,"HISENSE",49.5003937007874,"Other"
136407,"HISENSE","55A7G",138.783,"LCD (LED)",75.31,"N/A","Available",5.5,"HISENSE",54.63897637795275,"Other"
136650,"HISENSE","32A4G",80.04,"LCD (LED)",25.93,"N/A","Available",6,"HISENSE",31.511811023622048,"32-inch"
136653,"HISENSE","55U7G",138.548,"LCD (LED)",96.71,"N/A","Available",4.5,"HISENSE",54.54645669291339,"Other"
136722,"HISENSE","75A7G",189.274,"LCD (LED)",125.66,"N/A","Available",5.5,"HISENSE",74.51732283464567,"Other"
136903,"SAMSUNG ELECTRONICS","QA65QN700AW",163.829,"LCD (LED)",220,"N/A","Available",2.5,"SAMSUNG ELECTRONICS",64.4996062992126,"65-inch"
136903,"SAMSUNG ELECTRONICS","QA65QN700AS",163.829,"LCD (LED)",220,"N/A","Available",2.5,"SAMSUNG ELECTRONICS",64.4996062992126,"65-inch"
136903,"SAMSUNG ELECTRONICS","QA65QN700A",163.829,"LCD (LED)",220,"N/A","Available",2.5,"SAMSUNG ELECTRONICS",64.4996062992126,"65-inch"
136914,"SAMSUNG ELECTRONICS","QA75QN700AW",189.306,"LCD (LED)",242,"N/A","Available",3,"SAMSUNG ELECTRONICS",74.52992125984252,"Other"
136914,"SAMSUNG ELECTRONICS","QA75QN700AS",189.306,"LCD (LED)",242,"N/A","Available",3,"SAMSUNG ELECTRONICS",74.52992125984252,"Other"
136914,"SAMSUNG ELECTRONICS","QA75QN700A",189.306,"LCD (LED)",242,"N/A","Available",3,"SAMSUNG ELECTRONICS",74.52992125984252,"Other"
136962,"HISENSE","75U7G",189.34,"LCD (LED)",173.3,"N/A","Available",4.5,"HISENSE",74.54330708661418,"Other"
136970,"PHILIPS","55HFL2899T/79",138.783,"LCD (LED)",57,"N/A","Available",6,"PHILIPS",54.63897637795275,"Other"
137016,"PHILIPS","65HFL2899T/79",163.896,"LCD (LED)",70.4,"N/A","Available",7,"PHILIPS",64.5259842519685,"65-inch"
137043,"HISENSE","55U8G",138.783,"LCD (LED)",111.93,"N/A","Available",3.5,"HISENSE",54.63897637795275,"Other"
137047,"Linsar","LS70UHDNF",176.563,"LCD (LED)",111.08,"N/A","Available",6,"LINSAR",69.51299212598424,"Other"
137053,"HISENSE","65U8G",163.896,"LCD",151.23,"N/A","Available",3.5,"HISENSE",64.5259842519685,"65-inch"
137088,"FURRION","FDFD24A0D",60.468,"LCD",22,"N/A","Available",5,"FURRION",23.806299212598425,"Other"
137098,"HISENSE","75U90G",189.34,"LCD (LED)",284.19,"N/A","Available",2,"HISENSE",74.54330708661418,"Other"
137162,"CHiQ","U50G7H",125.725,"LCD (LED)",72,"N/A","Available",5,"CHIQ",49.49803149606299,"Other"
137163,"CHiQ","U55G7H",138.711,"LCD (LED)",95,"N/A","Available",4.5,"CHIQ",54.61062992125985,"Other"
137164,"CHiQ","U65G7H",163.829,"LCD (LED)",138,"N/A","Available",4.5,"CHIQ",64.4996062992126,"65-inch"
137166,"HISENSE","65U7G",163.896,"LCD (LED)",119.45,"N/A","Available",4.5,"HISENSE",64.5259842519685,"65-inch"
137205,"HISENSE","43A7G",107.986,"LCD (LED)",57.75,"N/A","Available",4.5,"HISENSE",42.51417322834646,"Other"
137247,"LG","70UP8050PVB",176.564,"LCD (LED)",153,"N/A","Available",4.5,"LG",69.51338582677165,"Other"
137248,"LG","32LT662MBTB",80.043,"LCD (LED)",33,"N/A","Available",5,"LG",31.512992125984255,"32-inch"
137271,"HISENSE","40A4G",100.332,"LCD (LED)",31.27,"N/A","Available",6,"HISENSE",39.5007874015748,"Other"
137363,"HISENSE","85U7G",214.783,"LCD (LED)",227.42,"N/A","Available",4,"HISENSE",84.56023622047243,"Other"
137382,"EKO","K75USG",189.442,"LCD (LED)",191.4,"N/A","Available",4,"EKO",74.58346456692914,"Other"
137382,"EKO","K750USG",189.442,"LCD (LED)",191.4,"N/A","Available",4,"EKO",74.58346456692914,"Other"
137383,"EKO","K550USG",138.897,"LCD (LED)",72.3,"N/A","Available",6,"EKO",54.68385826771653,"Other"
137506,"kogan","KALED32RH9210STB",79.967,"LCD (LED)",28,"N/A","Available",6,"KOGAN",31.48307086614173,"32-inch"
137506,"kogan","KALED32RH9220STB",79.967,"LCD (LED)",28,"N/A","Available",6,"KOGAN",31.48307086614173,"32-inch"
137536,"HISENSE","85U8G",214.783,"LCD (LED)",228.29,"N/A","Available",4,"HISENSE",84.56023622047243,"Other"
137550,"JVC","AV-HQ507115A",125.731,"LCD (LED)",56.97,"N/A","Available",5,"JVC",49.5003937007874,"Other"
137492,"CAIXUN","LE-32K1",80.19,"LCD",25.21,"N/A","Available",6,"CAIXUN",31.57086614173228,"32-inch"
137492,"CAIXUN","LE-32S1",80.19,"LCD",25.21,"N/A","Available",6,"CAIXUN",31.57086614173228,"32-inch"
137492,"CAIXUN","LE-32F2",80.19,"LCD",25.21,"N/A","Available",6,"CAIXUN",31.57086614173228,"32-inch"
137492,"CAIXUN","LE-32K1, LE-32S1, LE-32F2",80.19,"LCD",25.21,"N/A","Available",6,"CAIXUN",31.57086614173228,"32-inch"
137575,"CAIXUN","LE-43N1",107.988,"LCD",59.24,"N/A","Available",4.5,"CAIXUN",42.51496062992126,"Other"
137575,"CAIXUN","LE-43F2",107.988,"LCD",59.24,"N/A","Available",4.5,"CAIXUN",42.51496062992126,"Other"
137575,"CAIXUN","LE-43S1",107.988,"LCD",59.24,"N/A","Available",4.5,"CAIXUN",42.51496062992126,"Other"
137575,"CAIXUN","LE-43N1, LE-43F2, LE-43S1",107.988,"LCD",59.24,"N/A","Available",4.5,"CAIXUN",42.51496062992126,"Other"
137578,"CAIXUN","LE-40N1",100.266,"LCD",38.82,"N/A","Available",5.5,"CAIXUN",39.4748031496063,"Other"
137578,"CAIXUN","LE-40F2",100.266,"LCD",38.82,"N/A","Available",5.5,"CAIXUN",39.4748031496063,"Other"
137578,"CAIXUN","LE-40S1",100.266,"LCD",38.82,"N/A","Available",5.5,"CAIXUN",39.4748031496063,"Other"
137578,"CAIXUN","LE-40N1, LE-40F2, LE-40S1",100.266,"LCD",38.82,"N/A","Available",5.5,"CAIXUN",39.4748031496063,"Other"
137608,"JVC","AV-HQ557115A",138.783,"LCD (LED)",63.94,"N/A","Available",5,"JVC",54.63897637795275,"Other"
137622,"PHILIPS","19HFL5014W/12",47.013,"LCD (LED)",14.61,"N/A","Available",5,"PHILIPS",18.509055118110236,"Other"
137622,"PHILIPS","19HFL5114W/12",47.013,"LCD (LED)",14.61,"N/A","Available",5,"PHILIPS",18.509055118110236,"Other"
137678,"LG","43UR640S0TD",107.987,"LCD (LED)",79,"N/A","Available",3.5,"LG",42.514566929133856,"Other"
137679,"LG","50UR640S0TD",125.727,"LCD (LED)",95,"N/A","Available",4,"LG",49.4988188976378,"Other"
137680,"LG","55UR640S0TD",138.783,"LCD (LED)",113,"N/A","Available",4,"LG",54.63897637795275,"Other"
137681,"LG","65UR640S0TD",163.897,"LCD (LED)",156,"N/A","Available",4,"LG",64.52637795275591,"65-inch"
137682,"LG","75UR640S0TD",189.275,"LCD (LED)",180,"N/A","Available",4.5,"LG",74.51771653543307,"Other"
137683,"LG","86UR640S0TD",217.425,"LCD (LED)",241,"N/A","Available",4.5,"LG",85.60039370078741,"Other"
137725,"LOEWE","BILD v.65",163.878,"OLED",135,"N/A","Available",4.5,"LOEWE",64.51889763779526,"65-inch"
137740,"TOSHIBA","50C350KP",125.731,"LCD (LED)",66.16,"N/A","Available",5,"TOSHIBA",49.5003937007874,"Other"
137744,"TOSHIBA","43C350KP",107.986,"LCD (LED)",63.45,"N/A","Available",4,"TOSHIBA",42.51417322834646,"Other"
