year,beef,pig,poultry,sheep
1991,0.7055,14.5729,1.9485,0.6401
1992,0.8123,15.2341,2.1034,0.7012
1993,0.9456,16.1123,2.3012,0.7823
1994,1.0234,17.0012,2.5123,0.8456
1995,1.1123,17.8934,2.7345,0.9123
1996,1.2012,18.7890,2.9678,0.9821
1997,1.2987,19.6876,3.2123,1.0543
1998,1.4023,20.5891,3.4689,1.1298
1999,1.5123,21.4932,3.7378,1.2087
2000,1.6289,22.4001,4.0198,1.2912
2001,1.7521,23.3102,4.3154,1.3776
2002,1.8823,24.2234,4.6251,1.4681
2003,2.0198,25.1398,4.9493,1.5629
2004,2.1654,26.0591,5.2885,1.6623
2005,2.3198,26.9812,5.6432,1.7667
2006,2.4834,27.9056,6.0139,1.8765
2007,2.6567,28.8321,6.4012,1.9923
2008,2.8401,29.7605,6.8056,2.1145
2009,3.0345,30.6902,7.2278,2.2436
2010,3.2401,31.6211,7.6689,2.3801
2011,3.4578,32.5532,8.1298,2.5245
2012,3.6889,33.4865,8.6112,2.6776
2013,3.9345,34.4211,9.1145,2.8401
2014,4.1956,35.3572,9.6412,3.0129
2015,4.4734,36.2950,10.1923,3.1972
2016,4.7698,37.2348,10.7698,3.3942
2017,5.0867,38.1768,11.3767,3.6051
2018,5.4256,39.1214,12.0156,3.8312
2019,5.7889,40.0690,12.6890,4.0738
2020,6.1789,41.0201,13.3990,4.3345
2021,6.5987,41.9750,14.1480,4.6150
2022,7.0512,42.9345,14.9380,4.9170
2023,7.5398,43.8990,15.7720,5.2420
2024,8.0678,44.8690,16.6530,5.5920
